"Date","Location","Population Type","Observations","Gender"
2021-12-31,"Invercargill Prison","Onsite population",125,"Male"
2021-12-31,"Invercargill Prison","Offsite population",1,"Male"
2021-12-31,"Invercargill Prison","Total population",126,"Male"
2021-12-31,"Invercargill Prison","Population percentage",1.6,"Male"
2022-03-31,"Invercargill Prison","Remand accused prisoners",45,"Male"
2022-03-31,"Invercargill Prison","Remand convicted prisoners",0,"Male"
2022-03-31,"Invercargill Prison","Sentenced prisoners",82,"Male"
2022-03-31,"Invercargill Prison","Onsite population",127,"Male"
2022-03-31,"Invercargill Prison","Offsite population",0,"Male"
2022-03-31,"Invercargill Prison","Total population",127,"Male"
2022-03-31,"Invercargill Prison","Population percentage",1.7,"Male"
2022-06-30,"Invercargill Prison","Remand accused prisoners",37,"Male"
2022-06-30,"Invercargill Prison","Remand convicted prisoners",0,"Male"
2022-06-30,"Invercargill Prison","Sentenced prisoners",75,"Male"
2022-06-30,"Invercargill Prison","Onsite population",112,"Male"
2022-06-30,"Invercargill Prison","Offsite population",0,"Male"
2022-06-30,"Invercargill Prison","Total population",112,"Male"
2022-06-30,"Invercargill Prison","Population percentage",1.4,"Male"
2022-09-30,"Invercargill Prison","Remand accused prisoners",45,"Male"
2022-09-30,"Invercargill Prison","Remand convicted prisoners",0,"Male"
2022-09-30,"Invercargill Prison","Sentenced prisoners",70,"Male"
2022-09-30,"Invercargill Prison","Onsite population",115,"Male"
2022-09-30,"Invercargill Prison","Offsite population",0,"Male"
2022-09-30,"Invercargill Prison","Total population",115,"Male"
2022-09-30,"Invercargill Prison","Population percentage",1.5,"Male"
2022-12-31,"Invercargill Prison","Remand accused prisoners",54,"Male"
2022-12-31,"Invercargill Prison","Remand convicted prisoners",0,"Male"
2022-12-31,"Invercargill Prison","Sentenced prisoners",73,"Male"
2022-12-31,"Invercargill Prison","Onsite population",127,"Male"
2022-12-31,"Invercargill Prison","Offsite population",0,"Male"
2022-12-31,"Invercargill Prison","Total population",127,"Male"
2022-12-31,"Invercargill Prison","Population percentage",1.6,"Male"
2023-03-31,"Invercargill Prison","Remand accused prisoners",66,"Male"
2023-03-31,"Invercargill Prison","Remand convicted prisoners",0,"Male"
2023-03-31,"Invercargill Prison","Sentenced prisoners",83,"Male"
2023-03-31,"Invercargill Prison","Onsite population",149,"Male"
2023-03-31,"Invercargill Prison","Offsite population",0,"Male"
2023-03-31,"Invercargill Prison","Total population",149,"Male"
2023-03-31,"Invercargill Prison","Population percentage",1.8,"Male"
2023-06-30,"Invercargill Prison","Remand accused prisoners",73,"Male"
2023-06-30,"Invercargill Prison","Remand convicted prisoners",0,"Male"
2023-06-30,"Invercargill Prison","Sentenced prisoners",79,"Male"
2023-06-30,"Invercargill Prison","Onsite population",152,"Male"
2023-06-30,"Invercargill Prison","Offsite population",0,"Male"
2023-06-30,"Invercargill Prison","Total population",152,"Male"
2023-06-30,"Invercargill Prison","Population percentage",1.8,"Male"
2023-09-30,"Invercargill Prison","Remand accused prisoners",77,"Male"
2023-09-30,"Invercargill Prison","Remand convicted prisoners",0,"Male"
2023-09-30,"Invercargill Prison","Sentenced prisoners",79,"Male"
2023-09-30,"Invercargill Prison","Onsite population",156,"Male"
2023-09-30,"Invercargill Prison","Offsite population",0,"Male"
2023-09-30,"Invercargill Prison","Total population",156,"Male"
2023-09-30,"Invercargill Prison","Population percentage",1.8,"Male"
2023-12-31,"Invercargill Prison","Remand accused prisoners",85,"Male"
2023-12-31,"Invercargill Prison","Remand convicted prisoners",0,"Male"
2023-12-31,"Invercargill Prison","Sentenced prisoners",82,"Male"
2023-12-31,"Invercargill Prison","Onsite population",167,"Male"
2023-12-31,"Invercargill Prison","Offsite population",0,"Male"
2023-12-31,"Invercargill Prison","Total population",167,"Male"
2023-12-31,"Invercargill Prison","Population percentage",1.8,"Male"
2024-03-31,"Invercargill Prison","Remand accused prisoners",53,"Male"
2024-03-31,"Invercargill Prison","Remand convicted prisoners",31,"Male"
2024-03-31,"Invercargill Prison","Sentenced prisoners",83,"Male"
2024-03-31,"Invercargill Prison","Onsite population",167,"Male"
2024-03-31,"Invercargill Prison","Offsite population",0,"Male"
2024-03-31,"Invercargill Prison","Total population",167,"Male"
2024-03-31,"Invercargill Prison","Population percentage",1.8,"Male"
2018-03-31,"Manawatu Prison","Remand accused prisoners",126,"Male"
2018-03-31,"Manawatu Prison","Remand convicted prisoners",0,"Male"
2018-03-31,"Manawatu Prison","Sentenced prisoners",154,"Male"
2018-03-31,"Manawatu Prison","Onsite population",0,"Male"
2018-03-31,"Manawatu Prison","Offsite population",0,"Male"
2018-03-31,"Manawatu Prison","Total population",280,"Male"
2018-03-31,"Manawatu Prison","Population percentage",2.6,"Male"
2018-06-30,"Manawatu Prison","Remand accused prisoners",127,"Male"
2018-06-30,"Manawatu Prison","Remand convicted prisoners",0,"Male"
2018-06-30,"Manawatu Prison","Sentenced prisoners",152,"Male"
2018-06-30,"Manawatu Prison","Onsite population",0,"Male"
2018-06-30,"Manawatu Prison","Offsite population",0,"Male"
2018-06-30,"Manawatu Prison","Total population",279,"Male"
2018-06-30,"Manawatu Prison","Population percentage",2.7,"Male"
2018-09-30,"Manawatu Prison","Remand accused prisoners",125,"Male"
2018-09-30,"Manawatu Prison","Remand convicted prisoners",0,"Male"
2018-09-30,"Manawatu Prison","Sentenced prisoners",147,"Male"
2018-09-30,"Manawatu Prison","Onsite population",0,"Male"
2018-09-30,"Manawatu Prison","Offsite population",0,"Male"
2018-09-30,"Manawatu Prison","Total population",272,"Male"
2018-09-30,"Manawatu Prison","Population percentage",2.7,"Male"
2018-12-31,"Manawatu Prison","Remand accused prisoners",118,"Male"
2018-12-31,"Manawatu Prison","Remand convicted prisoners",0,"Male"
2018-12-31,"Manawatu Prison","Sentenced prisoners",151,"Male"
2018-12-31,"Manawatu Prison","Onsite population",0,"Male"
2018-12-31,"Manawatu Prison","Offsite population",0,"Male"
2018-12-31,"Manawatu Prison","Total population",269,"Male"
2018-12-31,"Manawatu Prison","Population percentage",2.8,"Male"
2019-03-31,"Manawatu Prison","Remand accused prisoners",132,"Male"
2019-03-31,"Manawatu Prison","Remand convicted prisoners",0,"Male"
2019-03-31,"Manawatu Prison","Sentenced prisoners",154,"Male"
2019-03-31,"Manawatu Prison","Onsite population",0,"Male"
2019-03-31,"Manawatu Prison","Offsite population",0,"Male"
2019-03-31,"Manawatu Prison","Total population",286,"Male"
2019-03-31,"Manawatu Prison","Population percentage",2.8,"Male"
2019-06-30,"Manawatu Prison","Remand accused prisoners",131,"Male"
2019-06-30,"Manawatu Prison","Remand convicted prisoners",0,"Male"
2019-06-30,"Manawatu Prison","Sentenced prisoners",152,"Male"
2019-06-30,"Manawatu Prison","Onsite population",0,"Male"
2019-06-30,"Manawatu Prison","Offsite population",0,"Male"
2019-06-30,"Manawatu Prison","Total population",283,"Male"
2019-06-30,"Manawatu Prison","Population percentage",2.8,"Male"
2019-09-30,"Manawatu Prison","Remand accused prisoners",132,"Male"
2019-09-30,"Manawatu Prison","Remand convicted prisoners",0,"Male"
2019-09-30,"Manawatu Prison","Sentenced prisoners",154,"Male"
2019-09-30,"Manawatu Prison","Onsite population",0,"Male"
2019-09-30,"Manawatu Prison","Offsite population",0,"Male"
2019-09-30,"Manawatu Prison","Total population",286,"Male"
2019-09-30,"Manawatu Prison","Population percentage",2.9,"Male"
2019-12-31,"Manawatu Prison","Remand accused prisoners",142,"Male"
2019-12-31,"Manawatu Prison","Remand convicted prisoners",0,"Male"
2019-12-31,"Manawatu Prison","Sentenced prisoners",119,"Male"
2019-12-31,"Manawatu Prison","Onsite population",0,"Male"
2019-12-31,"Manawatu Prison","Offsite population",0,"Male"
2019-12-31,"Manawatu Prison","Total population",261,"Male"
2019-12-31,"Manawatu Prison","Population percentage",2.6,"Male"
2020-03-31,"Manawatu Prison","Remand accused prisoners",128,"Male"
2020-03-31,"Manawatu Prison","Remand convicted prisoners",0,"Male"
2020-03-31,"Manawatu Prison","Sentenced prisoners",101,"Male"
2020-03-31,"Manawatu Prison","Onsite population",0,"Male"
2020-03-31,"Manawatu Prison","Offsite population",0,"Male"
2020-03-31,"Manawatu Prison","Total population",229,"Male"
2020-03-31,"Manawatu Prison","Population percentage",2.3,"Male"
2020-06-30,"Manawatu Prison","Remand accused prisoners",137,"Male"
2020-06-30,"Manawatu Prison","Remand convicted prisoners",0,"Male"
2020-06-30,"Manawatu Prison","Sentenced prisoners",91,"Male"
2020-06-30,"Manawatu Prison","Onsite population",0,"Male"
2020-06-30,"Manawatu Prison","Offsite population",0,"Male"
2020-06-30,"Manawatu Prison","Total population",228,"Male"
2020-06-30,"Manawatu Prison","Population percentage",2.4,"Male"
2020-09-30,"Manawatu Prison","Remand accused prisoners",126,"Male"
2020-09-30,"Manawatu Prison","Remand convicted prisoners",0,"Male"
2020-09-30,"Manawatu Prison","Sentenced prisoners",127,"Male"
2020-09-30,"Manawatu Prison","Onsite population",0,"Male"
2020-09-30,"Manawatu Prison","Offsite population",0,"Male"
2020-09-30,"Manawatu Prison","Total population",253,"Male"
2020-09-30,"Manawatu Prison","Population percentage",2.8,"Male"
2020-12-31,"Manawatu Prison","Remand accused prisoners",131,"Male"
2020-12-31,"Manawatu Prison","Remand convicted prisoners",0,"Male"
2020-12-31,"Manawatu Prison","Sentenced prisoners",124,"Male"
2020-12-31,"Manawatu Prison","Onsite population",0,"Male"
2020-12-31,"Manawatu Prison","Offsite population",0,"Male"
2020-12-31,"Manawatu Prison","Total population",255,"Male"
2020-12-31,"Manawatu Prison","Population percentage",3,"Male"
2021-03-31,"Manawatu Prison","Remand accused prisoners",121,"Male"
2021-03-31,"Manawatu Prison","Remand convicted prisoners",0,"Male"
2021-03-31,"Manawatu Prison","Sentenced prisoners",123,"Male"
2021-03-31,"Manawatu Prison","Onsite population",0,"Male"
2021-03-31,"Manawatu Prison","Offsite population",0,"Male"
2021-03-31,"Manawatu Prison","Total population",244,"Male"
2021-03-31,"Manawatu Prison","Population percentage",2.8,"Male"
2021-06-30,"Manawatu Prison","Remand accused prisoners",114,"Male"
2021-06-30,"Manawatu Prison","Remand convicted prisoners",0,"Male"
2021-06-30,"Manawatu Prison","Sentenced prisoners",123,"Male"
2021-06-30,"Manawatu Prison","Onsite population",0,"Male"
2021-06-30,"Manawatu Prison","Offsite population",0,"Male"
2021-06-30,"Manawatu Prison","Total population",237,"Male"
2021-06-30,"Manawatu Prison","Population percentage",2.8,"Male"
2021-09-30,"Manawatu Prison","Remand accused prisoners",103,"Male"
2021-09-30,"Manawatu Prison","Remand convicted prisoners",0,"Male"
2021-09-30,"Manawatu Prison","Sentenced prisoners",121,"Male"
2021-09-30,"Manawatu Prison","Onsite population",224,"Male"
2021-09-30,"Manawatu Prison","Offsite population",1,"Male"
2021-09-30,"Manawatu Prison","Total population",225,"Male"
2021-09-30,"Manawatu Prison","Population percentage",2.8,"Male"
2021-12-31,"Manawatu Prison","Remand accused prisoners",122,"Male"
2021-12-31,"Manawatu Prison","Remand convicted prisoners",0,"Male"
2021-12-31,"Manawatu Prison","Sentenced prisoners",121,"Male"
2021-12-31,"Manawatu Prison","Onsite population",243,"Male"
2021-12-31,"Manawatu Prison","Offsite population",1,"Male"
2021-12-31,"Manawatu Prison","Total population",244,"Male"
2021-12-31,"Manawatu Prison","Population percentage",3.2,"Male"
2022-03-31,"Manawatu Prison","Remand accused prisoners",125,"Male"
2022-03-31,"Manawatu Prison","Remand convicted prisoners",0,"Male"
2022-03-31,"Manawatu Prison","Sentenced prisoners",118,"Male"
2022-03-31,"Manawatu Prison","Onsite population",243,"Male"
2022-03-31,"Manawatu Prison","Offsite population",1,"Male"
2022-03-31,"Manawatu Prison","Total population",244,"Male"
2022-03-31,"Manawatu Prison","Population percentage",3.2,"Male"
2022-06-30,"Manawatu Prison","Remand accused prisoners",101,"Male"
2022-06-30,"Manawatu Prison","Remand convicted prisoners",0,"Male"
2022-06-30,"Manawatu Prison","Sentenced prisoners",129,"Male"
2022-06-30,"Manawatu Prison","Onsite population",230,"Male"
2022-06-30,"Manawatu Prison","Offsite population",1,"Male"
2022-06-30,"Manawatu Prison","Total population",231,"Male"
2022-06-30,"Manawatu Prison","Population percentage",3,"Male"
2022-09-30,"Manawatu Prison","Remand accused prisoners",91,"Male"
2022-09-30,"Manawatu Prison","Remand convicted prisoners",0,"Male"
2022-09-30,"Manawatu Prison","Sentenced prisoners",111,"Male"
2022-09-30,"Manawatu Prison","Onsite population",202,"Male"
2022-09-30,"Manawatu Prison","Offsite population",0,"Male"
2022-09-30,"Manawatu Prison","Total population",202,"Male"
2022-09-30,"Manawatu Prison","Population percentage",2.5,"Male"
2022-12-31,"Manawatu Prison","Remand accused prisoners",80,"Male"
2022-12-31,"Manawatu Prison","Remand convicted prisoners",0,"Male"
2022-12-31,"Manawatu Prison","Sentenced prisoners",96,"Male"
2022-12-31,"Manawatu Prison","Onsite population",176,"Male"
2022-12-31,"Manawatu Prison","Offsite population",0,"Male"
2022-12-31,"Manawatu Prison","Total population",176,"Male"
2022-12-31,"Manawatu Prison","Population percentage",2.2,"Male"
2023-03-31,"Manawatu Prison","Remand accused prisoners",138,"Male"
2023-03-31,"Manawatu Prison","Remand convicted prisoners",0,"Male"
2023-03-31,"Manawatu Prison","Sentenced prisoners",76,"Male"
2023-03-31,"Manawatu Prison","Onsite population",214,"Male"
2023-03-31,"Manawatu Prison","Offsite population",0,"Male"
2023-03-31,"Manawatu Prison","Total population",214,"Male"
2023-03-31,"Manawatu Prison","Population percentage",2.6,"Male"
2023-06-30,"Manawatu Prison","Remand accused prisoners",137,"Male"
2023-06-30,"Manawatu Prison","Remand convicted prisoners",0,"Male"
2023-06-30,"Manawatu Prison","Sentenced prisoners",82,"Male"
2023-06-30,"Manawatu Prison","Onsite population",219,"Male"
2023-06-30,"Manawatu Prison","Offsite population",2,"Male"
2023-06-30,"Manawatu Prison","Total population",221,"Male"
2023-06-30,"Manawatu Prison","Population percentage",2.6,"Male"
2023-09-30,"Manawatu Prison","Remand accused prisoners",145,"Male"
2023-09-30,"Manawatu Prison","Remand convicted prisoners",0,"Male"
2023-09-30,"Manawatu Prison","Sentenced prisoners",92,"Male"
2023-09-30,"Manawatu Prison","Onsite population",237,"Male"
2023-09-30,"Manawatu Prison","Offsite population",1,"Male"
2023-09-30,"Manawatu Prison","Total population",238,"Male"
2023-09-30,"Manawatu Prison","Population percentage",2.7,"Male"
2023-12-31,"Manawatu Prison","Remand accused prisoners",138,"Male"
2023-12-31,"Manawatu Prison","Remand convicted prisoners",0,"Male"
2023-12-31,"Manawatu Prison","Sentenced prisoners",109,"Male"
2023-12-31,"Manawatu Prison","Onsite population",247,"Male"
2023-12-31,"Manawatu Prison","Offsite population",3,"Male"
2023-12-31,"Manawatu Prison","Total population",250,"Male"
2023-12-31,"Manawatu Prison","Population percentage",2.7,"Male"
2024-03-31,"Manawatu Prison","Remand accused prisoners",63,"Male"
2024-03-31,"Manawatu Prison","Remand convicted prisoners",60,"Male"
2024-03-31,"Manawatu Prison","Sentenced prisoners",121,"Male"
2024-03-31,"Manawatu Prison","Onsite population",244,"Male"
2024-03-31,"Manawatu Prison","Offsite population",1,"Male"
2024-03-31,"Manawatu Prison","Total population",245,"Male"
2024-03-31,"Manawatu Prison","Population percentage",2.6,"Male"
2018-03-31,"Mount Eden Corrections Facility","Remand accused prisoners",973,"Male"
2018-03-31,"Mount Eden Corrections Facility","Remand convicted prisoners",0,"Male"
2018-03-31,"Mount Eden Corrections Facility","Sentenced prisoners",49,"Male"
2018-03-31,"Mount Eden Corrections Facility","Onsite population",0,"Male"
2018-03-31,"Mount Eden Corrections Facility","Offsite population",0,"Male"
2018-03-31,"Mount Eden Corrections Facility","Total population",1022,"Male"
2018-03-31,"Mount Eden Corrections Facility","Population percentage",9.6,"Male"
2018-06-30,"Mount Eden Corrections Facility","Remand accused prisoners",949,"Male"
2018-06-30,"Mount Eden Corrections Facility","Remand convicted prisoners",0,"Male"
2018-06-30,"Mount Eden Corrections Facility","Sentenced prisoners",76,"Male"
2018-06-30,"Mount Eden Corrections Facility","Onsite population",0,"Male"
2018-06-30,"Mount Eden Corrections Facility","Offsite population",0,"Male"
2018-06-30,"Mount Eden Corrections Facility","Total population",1025,"Male"
2018-06-30,"Mount Eden Corrections Facility","Population percentage",9.8,"Male"
2018-09-30,"Mount Eden Corrections Facility","Remand accused prisoners",874,"Male"
2018-09-30,"Mount Eden Corrections Facility","Remand convicted prisoners",0,"Male"
2018-09-30,"Mount Eden Corrections Facility","Sentenced prisoners",75,"Male"
2018-09-30,"Mount Eden Corrections Facility","Onsite population",0,"Male"
2018-09-30,"Mount Eden Corrections Facility","Offsite population",0,"Male"
2018-09-30,"Mount Eden Corrections Facility","Total population",949,"Male"
2018-09-30,"Mount Eden Corrections Facility","Population percentage",9.4,"Male"
2018-12-31,"Mount Eden Corrections Facility","Remand accused prisoners",799,"Male"
2018-12-31,"Mount Eden Corrections Facility","Remand convicted prisoners",0,"Male"
2018-12-31,"Mount Eden Corrections Facility","Sentenced prisoners",86,"Male"
2018-12-31,"Mount Eden Corrections Facility","Onsite population",0,"Male"
2018-12-31,"Mount Eden Corrections Facility","Offsite population",0,"Male"
2018-12-31,"Mount Eden Corrections Facility","Total population",885,"Male"
2018-12-31,"Mount Eden Corrections Facility","Population percentage",9,"Male"
2019-03-31,"Mount Eden Corrections Facility","Remand accused prisoners",902,"Male"
2019-03-31,"Mount Eden Corrections Facility","Remand convicted prisoners",0,"Male"
2019-03-31,"Mount Eden Corrections Facility","Sentenced prisoners",58,"Male"
2019-03-31,"Mount Eden Corrections Facility","Onsite population",0,"Male"
2019-03-31,"Mount Eden Corrections Facility","Offsite population",0,"Male"
2019-03-31,"Mount Eden Corrections Facility","Total population",960,"Male"
2019-03-31,"Mount Eden Corrections Facility","Population percentage",9.6,"Male"
2019-06-30,"Mount Eden Corrections Facility","Remand accused prisoners",901,"Male"
2019-06-30,"Mount Eden Corrections Facility","Remand convicted prisoners",0,"Male"
2019-06-30,"Mount Eden Corrections Facility","Sentenced prisoners",54,"Male"
2019-06-30,"Mount Eden Corrections Facility","Onsite population",0,"Male"
2019-06-30,"Mount Eden Corrections Facility","Offsite population",0,"Male"
2019-06-30,"Mount Eden Corrections Facility","Total population",955,"Male"
2019-06-30,"Mount Eden Corrections Facility","Population percentage",9.6,"Male"
2019-09-30,"Mount Eden Corrections Facility","Remand accused prisoners",903,"Male"
2019-09-30,"Mount Eden Corrections Facility","Remand convicted prisoners",0,"Male"
2019-09-30,"Mount Eden Corrections Facility","Sentenced prisoners",55,"Male"
2019-09-30,"Mount Eden Corrections Facility","Onsite population",0,"Male"
2019-09-30,"Mount Eden Corrections Facility","Offsite population",0,"Male"
2019-09-30,"Mount Eden Corrections Facility","Total population",958,"Male"
2019-09-30,"Mount Eden Corrections Facility","Population percentage",9.5,"Male"
2019-12-31,"Mount Eden Corrections Facility","Remand accused prisoners",884,"Male"
2019-12-31,"Mount Eden Corrections Facility","Remand convicted prisoners",0,"Male"
2019-12-31,"Mount Eden Corrections Facility","Sentenced prisoners",66,"Male"
2019-12-31,"Mount Eden Corrections Facility","Onsite population",0,"Male"
2019-12-31,"Mount Eden Corrections Facility","Offsite population",0,"Male"
2019-12-31,"Mount Eden Corrections Facility","Total population",950,"Male"
2019-12-31,"Mount Eden Corrections Facility","Population percentage",9.6,"Male"
2020-03-31,"Mount Eden Corrections Facility","Remand accused prisoners",1014,"Male"
2020-03-31,"Mount Eden Corrections Facility","Remand convicted prisoners",0,"Male"
2020-03-31,"Mount Eden Corrections Facility","Sentenced prisoners",47,"Male"
2020-03-31,"Mount Eden Corrections Facility","Onsite population",0,"Male"
2020-03-31,"Mount Eden Corrections Facility","Offsite population",0,"Male"
2020-03-31,"Mount Eden Corrections Facility","Total population",1061,"Male"
2020-03-31,"Mount Eden Corrections Facility","Population percentage",10.7,"Male"
2020-06-30,"Mount Eden Corrections Facility","Remand accused prisoners",979,"Male"
2020-06-30,"Mount Eden Corrections Facility","Remand convicted prisoners",0,"Male"
2020-06-30,"Mount Eden Corrections Facility","Sentenced prisoners",56,"Male"
2020-06-30,"Mount Eden Corrections Facility","Onsite population",0,"Male"
2020-06-30,"Mount Eden Corrections Facility","Offsite population",0,"Male"
2020-06-30,"Mount Eden Corrections Facility","Total population",1035,"Male"
2020-06-30,"Mount Eden Corrections Facility","Population percentage",10.9,"Male"
2020-09-30,"Mount Eden Corrections Facility","Remand accused prisoners",949,"Male"
2020-09-30,"Mount Eden Corrections Facility","Remand convicted prisoners",0,"Male"
2020-09-30,"Mount Eden Corrections Facility","Sentenced prisoners",58,"Male"
2020-09-30,"Mount Eden Corrections Facility","Onsite population",0,"Male"
2020-09-30,"Mount Eden Corrections Facility","Offsite population",0,"Male"
2020-09-30,"Mount Eden Corrections Facility","Total population",1007,"Male"
2020-09-30,"Mount Eden Corrections Facility","Population percentage",11.1,"Male"
2020-12-31,"Mount Eden Corrections Facility","Remand accused prisoners",937,"Male"
2020-12-31,"Mount Eden Corrections Facility","Remand convicted prisoners",0,"Male"
2020-12-31,"Mount Eden Corrections Facility","Sentenced prisoners",91,"Male"
2020-12-31,"Mount Eden Corrections Facility","Onsite population",0,"Male"
2020-12-31,"Mount Eden Corrections Facility","Offsite population",0,"Male"
2020-12-31,"Mount Eden Corrections Facility","Total population",1028,"Male"
2020-12-31,"Mount Eden Corrections Facility","Population percentage",12.1,"Male"
2021-03-31,"Mount Eden Corrections Facility","Remand accused prisoners",1039,"Male"
2021-03-31,"Mount Eden Corrections Facility","Remand convicted prisoners",0,"Male"
2021-03-31,"Mount Eden Corrections Facility","Sentenced prisoners",104,"Male"
2021-03-31,"Mount Eden Corrections Facility","Onsite population",0,"Male"
2021-03-31,"Mount Eden Corrections Facility","Offsite population",0,"Male"
2021-03-31,"Mount Eden Corrections Facility","Total population",1143,"Male"
2021-03-31,"Mount Eden Corrections Facility","Population percentage",13.2,"Male"
2021-06-30,"Mount Eden Corrections Facility","Remand accused prisoners",1003,"Male"
2021-06-30,"Mount Eden Corrections Facility","Remand convicted prisoners",0,"Male"
2021-06-30,"Mount Eden Corrections Facility","Sentenced prisoners",74,"Male"
2021-06-30,"Mount Eden Corrections Facility","Onsite population",0,"Male"
2021-06-30,"Mount Eden Corrections Facility","Offsite population",0,"Male"
2021-06-30,"Mount Eden Corrections Facility","Total population",1077,"Male"
2021-06-30,"Mount Eden Corrections Facility","Population percentage",12.8,"Male"
2021-09-30,"Mount Eden Corrections Facility","Remand accused prisoners",902,"Male"
2021-09-30,"Mount Eden Corrections Facility","Remand convicted prisoners",0,"Male"
2021-09-30,"Mount Eden Corrections Facility","Sentenced prisoners",92,"Male"
2021-09-30,"Mount Eden Corrections Facility","Onsite population",994,"Male"
2021-09-30,"Mount Eden Corrections Facility","Offsite population",17,"Male"
2021-09-30,"Mount Eden Corrections Facility","Total population",1011,"Male"
2021-09-30,"Mount Eden Corrections Facility","Population percentage",12.6,"Male"
2021-12-31,"Mount Eden Corrections Facility","Remand accused prisoners",717,"Male"
2021-12-31,"Mount Eden Corrections Facility","Remand convicted prisoners",0,"Male"
2021-12-31,"Mount Eden Corrections Facility","Sentenced prisoners",61,"Male"
2021-12-31,"Mount Eden Corrections Facility","Onsite population",778,"Male"
2021-12-31,"Mount Eden Corrections Facility","Offsite population",11,"Male"
2021-12-31,"Mount Eden Corrections Facility","Total population",789,"Male"
2021-12-31,"Mount Eden Corrections Facility","Population percentage",10.2,"Male"
2022-03-31,"Mount Eden Corrections Facility","Remand accused prisoners",831,"Male"
2022-03-31,"Mount Eden Corrections Facility","Remand convicted prisoners",0,"Male"
2022-03-31,"Mount Eden Corrections Facility","Sentenced prisoners",59,"Male"
2022-03-31,"Mount Eden Corrections Facility","Onsite population",890,"Male"
2022-03-31,"Mount Eden Corrections Facility","Offsite population",11,"Male"
2022-03-31,"Mount Eden Corrections Facility","Total population",901,"Male"
2022-03-31,"Mount Eden Corrections Facility","Population percentage",11.8,"Male"
2022-06-30,"Mount Eden Corrections Facility","Remand accused prisoners",853,"Male"
2022-06-30,"Mount Eden Corrections Facility","Remand convicted prisoners",0,"Male"
2022-06-30,"Mount Eden Corrections Facility","Sentenced prisoners",40,"Male"
2022-06-30,"Mount Eden Corrections Facility","Onsite population",893,"Male"
2022-06-30,"Mount Eden Corrections Facility","Offsite population",21,"Male"
2022-06-30,"Mount Eden Corrections Facility","Total population",914,"Male"
2022-06-30,"Mount Eden Corrections Facility","Population percentage",11.8,"Male"
2022-09-30,"Mount Eden Corrections Facility","Remand accused prisoners",865,"Male"
2022-09-30,"Mount Eden Corrections Facility","Remand convicted prisoners",0,"Male"
2022-09-30,"Mount Eden Corrections Facility","Sentenced prisoners",41,"Male"
2022-09-30,"Mount Eden Corrections Facility","Onsite population",906,"Male"
2022-09-30,"Mount Eden Corrections Facility","Offsite population",16,"Male"
2022-09-30,"Mount Eden Corrections Facility","Total population",922,"Male"
2022-09-30,"Mount Eden Corrections Facility","Population percentage",11.6,"Male"
2022-12-31,"Mount Eden Corrections Facility","Remand accused prisoners",842,"Male"
2022-12-31,"Mount Eden Corrections Facility","Remand convicted prisoners",0,"Male"
2022-12-31,"Mount Eden Corrections Facility","Sentenced prisoners",48,"Male"
2022-12-31,"Mount Eden Corrections Facility","Onsite population",890,"Male"
2022-12-31,"Mount Eden Corrections Facility","Offsite population",16,"Male"
2022-12-31,"Mount Eden Corrections Facility","Total population",906,"Male"
2022-12-31,"Mount Eden Corrections Facility","Population percentage",11.2,"Male"
2023-03-31,"Mount Eden Corrections Facility","Remand accused prisoners",938,"Male"
2023-03-31,"Mount Eden Corrections Facility","Remand convicted prisoners",0,"Male"
2023-03-31,"Mount Eden Corrections Facility","Sentenced prisoners",32,"Male"
2023-03-31,"Mount Eden Corrections Facility","Onsite population",970,"Male"
2023-03-31,"Mount Eden Corrections Facility","Offsite population",13,"Male"
2023-03-31,"Mount Eden Corrections Facility","Total population",983,"Male"
2023-03-31,"Mount Eden Corrections Facility","Population percentage",11.7,"Male"
2023-06-30,"Mount Eden Corrections Facility","Remand accused prisoners",947,"Male"
2023-06-30,"Mount Eden Corrections Facility","Remand convicted prisoners",0,"Male"
2023-06-30,"Mount Eden Corrections Facility","Sentenced prisoners",24,"Male"
2023-06-30,"Mount Eden Corrections Facility","Onsite population",971,"Male"
2023-06-30,"Mount Eden Corrections Facility","Offsite population",12,"Male"
2023-06-30,"Mount Eden Corrections Facility","Total population",983,"Male"
2023-06-30,"Mount Eden Corrections Facility","Population percentage",11.4,"Male"
2023-09-30,"Mount Eden Corrections Facility","Remand accused prisoners",930,"Male"
2023-09-30,"Mount Eden Corrections Facility","Remand convicted prisoners",0,"Male"
2023-09-30,"Mount Eden Corrections Facility","Sentenced prisoners",56,"Male"
2023-09-30,"Mount Eden Corrections Facility","Onsite population",986,"Male"
2023-09-30,"Mount Eden Corrections Facility","Offsite population",13,"Male"
2023-09-30,"Mount Eden Corrections Facility","Total population",999,"Male"
2023-09-30,"Mount Eden Corrections Facility","Population percentage",11.2,"Male"
2023-12-31,"Mount Eden Corrections Facility","Remand accused prisoners",911,"Male"
2023-12-31,"Mount Eden Corrections Facility","Remand convicted prisoners",0,"Male"
2023-12-31,"Mount Eden Corrections Facility","Sentenced prisoners",35,"Male"
2023-12-31,"Mount Eden Corrections Facility","Onsite population",946,"Male"
2023-12-31,"Mount Eden Corrections Facility","Offsite population",13,"Male"
2023-12-31,"Mount Eden Corrections Facility","Total population",959,"Male"
2023-12-31,"Mount Eden Corrections Facility","Population percentage",10.5,"Male"
2024-03-31,"Mount Eden Corrections Facility","Remand accused prisoners",733,"Male"
2024-03-31,"Mount Eden Corrections Facility","Remand convicted prisoners",219,"Male"
